medicine_name,generic_name,platform,day,price,is_stockout
Crocin 500mg,Paracetamol IP 500mg,Netmeds,19,16.09,0
Crocin 500mg,Paracetamol IP 500mg,Netmeds,20,16.35,0
Crocin 500mg,Paracetamol IP 500mg,Netmeds,21,16.12,0
Crocin 500mg,Paracetamol IP 500mg,Netmeds,22,16.31,0
Crocin 500mg,Paracetamol IP 500mg,Netmeds,23,16.81,0
Crocin 500mg,Paracetamol IP 500mg,Netmeds,24,16.74,0
Crocin 500mg,Paracetamol IP 500mg,Netmeds,25,16.78,0
Crocin 500mg,Paracetamol IP 500mg,Netmeds,26,17.13,0
Crocin 500mg,Paracetamol IP 500mg,Netmeds,27,16.75,0
Crocin 500mg,Paracetamol IP 500mg,Netmeds,28,16.96,0
Crocin 500mg,Paracetamol IP 500mg,Netmeds,29,17.23,1
Crocin 500mg,Paracetamol IP 500mg,Netmeds,30,17.32,0
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,1,15.4,0
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,2,15.82,0
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,3,16.0,0
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,4,16.28,0
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,5,16.33,0
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,6,16.33,0
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,7,15.85,0
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,8,16.54,1
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,9,16.67,0
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,10,17.53,0
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,11,16.79,0
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,12,17.04,0
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,13,17.41,0
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,14,17.39,0
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,15,17.69,0
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,16,16.91,0
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,17,17.14,1
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,18,17.37,0
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,19,17.16,0
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,20,17.77,0
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,21,17.56,0
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,22,18.44,0
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,23,17.8,0
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,24,18.05,0
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,25,18.51,0
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,26,17.96,0
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,27,17.94,0
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,28,18.61,0
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,29,18.73,0
Crocin 500mg,Paracetamol IP 500mg,Tata 1mg,30,19.0,0
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,1,15.56,0
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,2,15.59,0
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,3,15.39,0
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,4,15.77,0
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,5,15.89,1
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,6,15.68,0
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,7,16.57,0
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,8,16.24,0
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,9,15.9,0
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,10,16.54,0
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,11,16.69,0
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,12,16.63,0
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,13,16.52,0
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,14,16.47,0
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,15,16.78,0
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,16,17.0,0
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,17,17.0,0
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,18,17.54,0
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,19,17.39,0
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,20,17.04,1
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,21,17.07,0
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,22,17.65,0
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,23,17.53,1
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,24,17.92,0
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,25,17.94,0
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,26,17.88,0
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,27,17.74,0
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,28,17.64,0
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,29,18.27,0
Crocin 500mg,Paracetamol IP 500mg,Apollo Pharmacy,30,17.92,0
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,1,29.57,0
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,2,30.29,0
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,3,30.33,0
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,4,29.71,0
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,5,31.15,0
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,6,31.23,0
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,7,31.01,0
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,8,31.11,0
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,9,31.21,0
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,10,33.31,0
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,11,31.67,0
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,12,31.59,0
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,13,30.84,0
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,14,31.26,1
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,15,32.89,0
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,16,30.48,0
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,17,31.42,0
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,18,32.45,0
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,19,31.47,0
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,20,32.41,0
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,21,32.13,0
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,22,31.81,0
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,23,31.08,0
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,24,32.51,0
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,25,32.02,1
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,26,32.53,0
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,27,33.0,0
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,28,33.32,0
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,29,32.62,0
Dolo 650mg,Paracetamol IP 650mg,PharmEasy,30,32.61,0
Dolo 650mg,Paracetamol IP 650mg,Netmeds,1,27.88,0
Dolo 650mg,Paracetamol IP 650mg,Netmeds,2,29.22,0
Dolo 650mg,Paracetamol IP 650mg,Netmeds,3,30.01,0
Dolo 650mg,Paracetamol IP 650mg,Netmeds,4,29.49,0
Dolo 650mg,Paracetamol IP 650mg,Netmeds,5,29.72,1
Dolo 650mg,Paracetamol IP 650mg,Netmeds,6,28.7,0
Dolo 650mg,Paracetamol IP 650mg,Netmeds,7,29.45,0
Dolo 650mg,Paracetamol IP 650mg,Netmeds,8,29.74,1
Dolo 650mg,Paracetamol IP 650mg,Netmeds,9,27.55,0
Dolo 650mg,Paracetamol IP 650mg,Netmeds,10,28.92,0
Dolo 650mg,Paracetamol IP 650mg,Netmeds,11,30.53,0
Dolo 650mg,Paracetamol IP 650mg,Netmeds,12,28.88,1
Dolo 650mg,Paracetamol IP 650mg,Netmeds,13,30.62,0
Dolo 650mg,Paracetamol IP 650mg,Netmeds,14,29.08,0
Dolo 650mg,Paracetamol IP 650mg,Netmeds,15,29.44,1
Dolo 650mg,Paracetamol IP 650mg,Netmeds,16,30.36,0
Dolo 650mg,Paracetamol IP 650mg,Netmeds,17,30.24,0
Dolo 650mg,Paracetamol IP 650mg,Netmeds,18,30.08,0
Dolo 650mg,Paracetamol IP 650mg,Netmeds,19,31.3,0
Dolo 650mg,Paracetamol IP 650mg,Netmeds,20,29.79,0
Dolo 650mg,Paracetamol IP 650mg,Netmeds,21,30.51,0
Dolo 650mg,Paracetamol IP 650mg,Netmeds,22,31.04,0
Dolo 650mg,Paracetamol IP 650mg,Netmeds,23,30.96,1
Dolo 650mg,Paracetamol IP 650mg,Netmeds,24,30.55,0
Dolo 650mg,Paracetamol IP 650mg,Netmeds,25,30.66,0
Dolo 650mg,Paracetamol IP 650mg,Netmeds,26,31.58,0
Dolo 650mg,Paracetamol IP 650mg,Netmeds,27,31.71,0
Dolo 650mg,Paracetamol IP 650mg,Netmeds,28,31.48,0
Dolo 650mg,Paracetamol IP 650mg,Netmeds,29,30.93,0
Dolo 650mg,Paracetamol IP 650mg,Netmeds,30,31.18,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,1,31.59,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,2,31.77,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,3,32.14,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,4,31.77,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,5,32.52,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,6,32.61,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,7,33.02,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,8,32.31,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,9,32.6,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,10,32.42,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,11,32.08,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,12,34.02,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,13,33.53,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,14,33.4,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,15,32.99,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,16,32.53,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,17,33.81,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,18,33.21,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,19,33.66,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,20,33.14,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,21,33.75,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,22,33.38,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,23,33.5,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,24,34.05,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,25,33.09,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,26,33.21,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,27,33.75,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,28,34.17,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,29,34.94,0
Dolo 650mg,Paracetamol IP 650mg,Tata 1mg,30,34.4,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,1,30.69,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,2,30.62,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,3,31.1,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,4,30.49,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,5,31.03,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,6,31.45,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,7,31.44,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,8,31.41,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,9,31.52,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,10,31.9,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,11,33.02,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,12,31.33,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,13,33.24,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,14,31.51,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,15,30.8,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,16,31.88,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,17,32.51,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,18,33.55,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,19,31.95,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,20,32.9,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,21,31.89,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,22,33.92,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,23,33.62,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,24,32.71,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,25,32.05,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,26,34.03,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,27,33.23,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,28,34.16,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,29,33.5,0
Dolo 650mg,Paracetamol IP 650mg,Apollo Pharmacy,30,33.63,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,1,39.74,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,2,40.7,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,3,40.4,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,4,40.81,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,5,39.27,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,6,41.62,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,7,41.94,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,8,40.89,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,9,42.55,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,10,42.4,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,11,41.62,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,12,42.29,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,13,42.15,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,14,39.99,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,15,41.28,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,16,42.17,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,17,43.0,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,18,40.7,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,19,40.54,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,20,41.96,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,21,40.45,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,22,42.13,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,23,42.59,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,24,41.65,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,25,42.45,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,26,43.36,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,27,42.28,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,28,42.17,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,29,42.81,0
Combiflam,Ibuprofen + Paracetamol,PharmEasy,30,42.17,0
Combiflam,Ibuprofen + Paracetamol,Netmeds,1,39.59,1
Combiflam,Ibuprofen + Paracetamol,Netmeds,2,38.23,0
Combiflam,Ibuprofen + Paracetamol,Netmeds,3,37.77,0
Combiflam,Ibuprofen + Paracetamol,Netmeds,4,38.56,0
Combiflam,Ibuprofen + Paracetamol,Netmeds,5,38.41,0
Combiflam,Ibuprofen + Paracetamol,Netmeds,6,38.43,0
Combiflam,Ibuprofen + Paracetamol,Netmeds,7,38.3,0
Combiflam,Ibuprofen + Paracetamol,Netmeds,8,38.36,0
Combiflam,Ibuprofen + Paracetamol,Netmeds,9,37.75,0
Combiflam,Ibuprofen + Paracetamol,Netmeds,10,40.04,0
Combiflam,Ibuprofen + Paracetamol,Netmeds,11,39.54,0
Combiflam,Ibuprofen + Paracetamol,Netmeds,12,39.44,0
Combiflam,Ibuprofen + Paracetamol,Netmeds,13,39.2,0
Combiflam,Ibuprofen + Paracetamol,Netmeds,14,38.67,0
Combiflam,Ibuprofen + Paracetamol,Netmeds,15,38.93,1
Combiflam,Ibuprofen + Paracetamol,Netmeds,16,38.52,0
Combiflam,Ibuprofen + Paracetamol,Netmeds,17,39.21,0
Combiflam,Ibuprofen + Paracetamol,Netmeds,18,38.98,0
Combiflam,Ibuprofen + Paracetamol,Netmeds,19,41.18,0
Combiflam,Ibuprofen + Paracetamol,Netmeds,20,40.67,0
Combiflam,Ibuprofen + Paracetamol,Netmeds,21,40.16,0
Combiflam,Ibuprofen + Paracetamol,Netmeds,22,39.55,0
Combiflam,Ibuprofen + Paracetamol,Netmeds,23,39.51,0
Combiflam,Ibuprofen + Paracetamol,Netmeds,24,40.26,0
Combiflam,Ibuprofen + Paracetamol,Netmeds,25,41.2,0
Combiflam,Ibuprofen + Paracetamol,Netmeds,26,42.05,0
Combiflam,Ibuprofen + Paracetamol,Netmeds,27,39.64,0
Combiflam,Ibuprofen + Paracetamol,Netmeds,28,41.23,0
Combiflam,Ibuprofen + Paracetamol,Netmeds,29,40.41,0
Combiflam,Ibuprofen + Paracetamol,Netmeds,30,40.63,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,1,42.14,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,2,41.5,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,3,42.1,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,4,41.64,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,5,42.02,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,6,43.23,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,7,42.78,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,8,43.43,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,9,42.34,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,10,43.48,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,11,41.73,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,12,43.24,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,13,43.84,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,14,42.0,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,15,42.95,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,16,43.64,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,17,44.55,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,18,43.32,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,19,44.35,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,20,45.21,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,21,44.58,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,22,44.03,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,23,44.61,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,24,43.89,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,25,44.57,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,26,44.47,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,27,44.98,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,28,44.45,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,29,45.23,0
Combiflam,Ibuprofen + Paracetamol,Tata 1mg,30,44.65,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,1,41.61,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,2,40.73,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,3,39.44,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,4,40.38,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,5,41.32,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,6,42.77,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,7,42.18,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,8,39.8,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,9,40.49,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,10,42.73,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,11,42.42,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,12,43.85,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,13,41.73,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,14,41.51,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,15,42.36,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,16,42.01,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,17,43.35,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,18,42.18,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,19,42.48,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,20,42.0,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,21,43.52,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,22,42.25,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,23,43.44,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,24,44.73,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,25,41.85,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,26,44.62,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,27,43.73,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,28,42.68,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,29,43.79,0
Combiflam,Ibuprofen + Paracetamol,Apollo Pharmacy,30,44.39,0
Aspirin 75mg,Acetylsalicylic Acid 75mg,PharmEasy,1,9.94,0
Aspirin 75mg,Acetylsalicylic Acid 75mg,PharmEasy,2,10.29,0
Aspirin 75mg,Acetylsalicylic Acid 75mg,PharmEasy,3,10.62,0
Aspirin 75mg,Acetylsalicylic Acid 75mg,PharmEasy,4,10.3,0
Aspirin 75mg,Acetylsalicylic Acid 75mg,PharmEasy,5,10.3,0
Aspirin 75mg,Acetylsalicylic Acid 75mg,PharmEasy,6,10.57,0
Aspirin 75mg,Acetylsalicylic Acid 75mg,PharmEasy,7,10.71,0
Aspirin 75mg,Acetylsalicylic Acid 75mg,PharmEasy,8,11.02,0
Aspirin 75mg,Acetylsalicylic Acid 75mg,PharmEasy,9,10.87,0
